load_zone,stage_id,timepoint,load_mw
MSEDCL,1,2030322,26313.62266
MSEDCL,1,2030323,27024.16314
MSEDCL,1,2030324,26652.05441
MSEDCL,1,2030325,27386.02876
MSEDCL,1,2030326,27956.51808
MSEDCL,1,2030327,27978.28951
MSEDCL,1,2030328,28371.22808
MSEDCL,1,2030329,28108.70518
MSEDCL,1,2030330,28276.96695
MSEDCL,1,2030331,27452.36999
MSEDCL,1,2030332,28107.8041
MSEDCL,1,2030333,28550.73851
MSEDCL,1,2030334,28664.0557
MSEDCL,1,2030335,26033.15925
MSEDCL,1,2030336,28128.57155
MSEDCL,1,2030337,28109.56953
MSEDCL,1,2030338,28327.41662
MSEDCL,1,2030339,29064.98301
MSEDCL,1,2030340,28810.14921
MSEDCL,1,2030341,29161.16903
MSEDCL,1,2030342,28531.04462
MSEDCL,1,2030343,29144.56626
MSEDCL,1,2030344,28112.01031
MSEDCL,1,2030345,28819.17828
MSEDCL,1,2030346,29574.33716
MSEDCL,1,2030347,29434.15283
MSEDCL,1,2030348,29024.21868
MSEDCL,1,2030349,27157.90031
MSEDCL,1,2030350,27755.62472
MSEDCL,1,2030351,27798.79579
MSEDCL,1,2030352,28722.27378
MSEDCL,1,2030353,29358.54104
MSEDCL,1,2030354,29214.80194
MSEDCL,1,2030355,29165.3453
MSEDCL,1,2030356,28897.83216
MSEDCL,1,2030357,29527.32364
MSEDCL,1,2030358,28936.36984
MSEDCL,1,2030359,30094.56243
MSEDCL,1,2030360,30870.79872
MSEDCL,1,2030361,30808.63801
MSEDCL,1,2030362,30636.38512
MSEDCL,1,2030363,30384.30017
MSEDCL,1,2030364,30574.01941
MSEDCL,1,2030365,30632.19846
MSEDCL,1,20300001,26719.76257
MSEDCL,1,20300002,26545.42827
MSEDCL,1,20300003,26189.27928
MSEDCL,1,20300004,26386.65424
MSEDCL,1,20300005,26810.12196
MSEDCL,1,20300006,28133.04875
MSEDCL,1,20300007,29943.11039
MSEDCL,1,20300008,31210.98377
MSEDCL,1,20300009,32886.91123
MSEDCL,1,20300010,34624.07893
MSEDCL,1,20300011,36311.0461
MSEDCL,1,20300012,37056.61281
MSEDCL,1,20300013,37072.76852
MSEDCL,1,20300014,37067.02915
MSEDCL,1,20300015,37204.36965
MSEDCL,1,20300016,35929.45507
MSEDCL,1,20300017,32287.81465
MSEDCL,1,20300018,29211.88293
MSEDCL,1,20300019,28874.91663
MSEDCL,1,20300020,28914.07786
MSEDCL,1,20300021,28500.17286
MSEDCL,1,20300022,28165.36516
MSEDCL,1,20300023,27110.79069
MSEDCL,1,20300024,25900.50678
MSEDCL,1,20300025,25440.11794
MSEDCL,1,20300026,24957.33514
MSEDCL,1,20300027,24418.71392
MSEDCL,1,20300028,24485.37878
MSEDCL,1,20300029,25318.24496
MSEDCL,1,20300030,26980.36512
MSEDCL,1,20300031,29032.03556
MSEDCL,1,20300032,30698.5133
MSEDCL,1,20300033,32246.44327
MSEDCL,1,20300034,33864.49492
MSEDCL,1,20300035,35259.8424
MSEDCL,1,20300036,35823.11832
MSEDCL,1,20300037,35719.2247
MSEDCL,1,20300038,35579.40911
MSEDCL,1,20300039,35622.80288
MSEDCL,1,20300040,34651.99645
MSEDCL,1,20300041,31508.46117
MSEDCL,1,20300042,28693.80344
MSEDCL,1,20300043,28179.65396
MSEDCL,1,20300044,28672.20844
MSEDCL,1,20300045,28372.36057
MSEDCL,1,20300046,27988.18821
MSEDCL,1,20300047,27067.65447
MSEDCL,1,20300048,26249.82579
MSEDCL,1,20300049,25746.75001
MSEDCL,1,20300050,25156.24668
MSEDCL,1,20300051,24624.99792
MSEDCL,1,20300052,24568.57181
MSEDCL,1,20300053,25336.02335
MSEDCL,1,20300054,26869.32917
MSEDCL,1,20300055,29041.92017
MSEDCL,1,20300056,31129.52392
MSEDCL,1,20300057,33001.65719
MSEDCL,1,20300058,34491.69202
MSEDCL,1,20300059,36118.61105
MSEDCL,1,20300060,37062.14788
MSEDCL,1,20300061,36924.78567
MSEDCL,1,20300062,36782.18713
MSEDCL,1,20300063,36660.5061
MSEDCL,1,20300064,35690.80979
MSEDCL,1,20300065,32726.94918
MSEDCL,1,20300066,29730.30363
MSEDCL,1,20300067,28953.26941
MSEDCL,1,20300068,28957.3446
MSEDCL,1,20300069,28788.3963
MSEDCL,1,20300070,28703.22075
MSEDCL,1,20300071,27685.80858
MSEDCL,1,20300072,26728.41954
MSEDCL,1,20300073,26153.39618
MSEDCL,1,20300074,25529.82343
MSEDCL,1,20300075,25350.09854
MSEDCL,1,20300076,25507.30371
MSEDCL,1,20300077,26175.40681
MSEDCL,1,20300078,27680.58301
MSEDCL,1,20300079,29988.19067
MSEDCL,1,20300080,32077.48076
MSEDCL,1,20300081,33648.16553
MSEDCL,1,20300082,35125.16574
MSEDCL,1,20300083,36121.47966
MSEDCL,1,20300084,36100.82143
MSEDCL,1,20300085,35404.87465
MSEDCL,1,20300086,35625.53236
MSEDCL,1,20300087,35577.76065
MSEDCL,1,20300088,34951.35839
MSEDCL,1,20300089,32843.91268
MSEDCL,1,20300090,30263.55126
MSEDCL,1,20300091,29060.20387
MSEDCL,1,20300092,29033.68361
MSEDCL,1,20300093,28618.72518
MSEDCL,1,20300094,28400.03324
MSEDCL,1,20300095,27544.80328
MSEDCL,1,20300096,26523.78213
MSEDCL,1,20300097,26370.87182
MSEDCL,1,20300098,26005.87477
MSEDCL,1,20300099,25224.68371
MSEDCL,1,20300100,25325.36483
MSEDCL,1,20300101,26130.66099
MSEDCL,1,20300102,27943.23844
MSEDCL,1,20300103,30369.60655
MSEDCL,1,20300104,31977.02146
MSEDCL,1,20300105,33451.73099
MSEDCL,1,20300106,35237.67489
MSEDCL,1,20300107,36791.73088
MSEDCL,1,20300108,37372.00198
MSEDCL,1,20300109,36793.01882
MSEDCL,1,20300110,36557.21572
MSEDCL,1,20300111,36757.61239
MSEDCL,1,20300112,36043.15644
MSEDCL,1,20300113,32979.93284
MSEDCL,1,20300114,29850.43331
MSEDCL,1,20300115,29173.2629
MSEDCL,1,20300116,29555.24199
MSEDCL,1,20300117,29238.04527
MSEDCL,1,20300118,28761.36306
MSEDCL,1,20300119,27510.46019
MSEDCL,1,20300120,26842.91093
MSEDCL,1,20300121,26545.86073
MSEDCL,1,20300122,26091.43383
MSEDCL,1,20300123,25788.51992
MSEDCL,1,20300124,26082.64221
MSEDCL,1,20300125,26731.35081
MSEDCL,1,20300126,27774.16876
MSEDCL,1,20300127,29621.75207
MSEDCL,1,20300128,31595.12727
MSEDCL,1,20300129,33619.11497
