stage_id,timepoint,cap_factor
1,2030174,0.222373592
1,2030175,0.211843531
1,2030176,0.242673027
1,2030177,0.232931473
1,2030178,0.244618869
1,2030179,0.246739019
1,2030180,0.239781703
1,2030181,0.237361074
1,2030182,0.231861965
1,2030183,0.230307961
1,2030184,0.215223032
1,2030185,0.232651949
1,2030186,0.227923817
1,2030187,0.229236198
1,2030188,0.218846438
1,2030189,0.212315423
1,2030190,0.214521632
1,2030191,0.246067795
1,2030192,0.243035371
1,2030193,0.213799988
1,2030194,0.231747224
1,2030195,0.1853065
1,2030196,0.220337625
1,2030197,0.244611154
1,2030198,0.238242059
1,2030199,0.195845787
1,2030200,0.195720157
1,2030201,0.248458825
1,2030202,0.244737533
1,2030203,0.239510247
1,2030204,0.240661301
1,2030205,0.246157437
1,2030206,0.250617023
1,2030207,0.251440293
1,2030208,0.24754189
1,2030209,0.248982946
1,2030210,0.254332734
1,2030211,0.252705418
1,2030212,0.248564832
1,2030213,0.228379831
1,2030214,0.239704411
1,2030215,0.236823591
1,2030216,0.250324596
1,2030217,0.237912901
1,2030218,0.244931085
1,2030219,0.247739458
1,2030220,0.247766408
1,2030221,0.236041537
1,2030222,0.218834779
1,2030223,0.201129569
1,2030224,0.225497301
1,2030225,0.226107331
1,2030226,0.229017852
1,2030227,0.234869399
1,2030228,0.238233576
1,2030229,0.232354224
1,2030230,0.243808987
1,2030231,0.23761955
1,2030232,0.234223767
1,2030233,0.240106421
1,2030234,0.242089564
1,2030235,0.246661663
1,2030236,0.24421881
1,2030237,0.244303765
1,2030238,0.237636577
1,2030239,0.243321749
1,2030240,0.229554027
1,2030241,0.243981915
1,2030242,0.240929704
1,2030243,0.239152095
1,2030244,0.215681323
1,2030245,0.236290841
1,2030246,0.221864708
1,2030247,0.238475788
1,2030248,0.237669674
1,2030249,0.23434784
1,2030250,0.243639039
1,2030251,0.242897416
1,2030252,0.237952156
1,2030253,0.234025436
1,2030254,0.238065109
1,2030255,0.241173653
1,2030256,0.240513598
1,2030257,0.237862795
1,2030258,0.246386839
1,2030259,0.24320221
1,2030260,0.238946918
1,2030261,0.239094391
1,2030262,0.238622387
1,2030263,0.240383291
1,2030264,0.24061867
1,2030265,0.24128216
1,2030266,0.244581832
1,2030267,0.235115271
1,2030268,0.243372326
1,2030269,0.242441144
1,2030270,0.232998501
1,2030271,0.233423132
1,2030272,0.240226092
1,2030273,0.243372985
1,2030274,0.204790138
1,2030275,0.21011503
1,2030276,0.244850167
1,2030277,0.242240393
1,2030278,0.217452409
1,2030279,0.241360769
1,2030280,0.239501817
1,2030281,0.239601297
1,2030282,0.227974884
1,2030283,0.249975573
1,2030284,0.243118848
1,2030285,0.241850968
1,2030286,0.237064575
1,2030287,0.241595644
1,2030288,0.236918647
1,2030289,0.234908551
1,2030290,0.252820332
1,2030291,0.251829672
1,2030292,0.249082117
1,2030293,0.250016247
1,2030294,0.247420345
1,2030295,0.254872741
1,2030296,0.254137172
1,2030297,0.237123152
1,2030298,0.247999556
1,2030299,0.254108359
1,2030300,0.249335933
1,2030301,0.253629034
1,2030302,0.253651998
1,2030303,0.239464057
1,2030304,0.249282635
1,2030305,0.235876446
