stage_id,timepoint,cap_factor
1,20304808,0.363901579
1,20304809,0.36334089
1,20304810,0.362923724
1,20304811,0.384672635
1,20304812,0.332008792
1,20304813,0.348960943
1,20304814,0.355512084
1,20304815,0.328108041
1,20304816,0.372284921
1,20304817,0.337723683
1,20304818,0.355241549
1,20304819,0.323805032
1,20304820,0.333658669
1,20304821,0.387584911
1,20304822,0.309962658
1,20304823,0.320114072
1,20304824,0.341243342
1,20304825,0.294198073
1,20304826,0.334048231
1,20304827,0.371984444
1,20304828,0.393933776
1,20304829,0.334587857
1,20304830,0.307758233
1,20304831,0.383721192
1,20304832,0.288434625
1,20304833,0.298787633
1,20304834,0.34432497
1,20304835,0.339209186
1,20304836,0.353668056
1,20304837,0.343728619
1,20304838,0.33079728
1,20304839,0.350218139
1,20304840,0.32413018
1,20304841,0.344652398
1,20304842,0.319335036
1,20304843,0.339937038
1,20304844,0.363121912
1,20304845,0.303710552
1,20304846,0.335387933
1,20304847,0.359105133
1,20304848,0.348732347
1,20304849,0.366191114
1,20304850,0.380499465
1,20304851,0.378629786
1,20304852,0.392757164
1,20304853,0.360100454
1,20304854,0.300220677
1,20304855,0.349641549
1,20304856,0.33118004
1,20304857,0.358903916
1,20304858,0.376051763
1,20304859,0.289230577
1,20304860,0.319911626
1,20304861,0.360585555
1,20304862,0.308266929
1,20304863,0.340471567
1,20304864,0.345905379
1,20304865,0.303241107
1,20304866,0.304227322
1,20304867,0.371799135
1,20304868,0.386419873
1,20304869,0.34224259
1,20304870,0.355528574
1,20304871,0.349210982
1,20304872,0.339784044
1,20304873,0.311935585
1,20304874,0.338146156
1,20304875,0.341009405
1,20304876,0.363762822
1,20304877,0.333876632
1,20304878,0.352104613
1,20304879,0.332314885
1,20304880,0.310787752
1,20304881,0.365366533
1,20304882,0.328908884
1,20304883,0.298267913
1,20304884,0.344974412
1,20304885,0.369727752
1,20304886,0.336672797
1,20304887,0.319811819
1,20304888,0.315853703
1,20304889,0.342552123
1,20304890,0.345337857
1,20304891,0.323423166
1,20304892,0.384471239
1,20304893,0.365386694
1,20304894,0.356716681
1,20304895,0.318616174
1,20304896,0.355422607
1,20304897,0.342093964
1,20304898,0.314510568
1,20304899,0.310218533
1,20304900,0.34403992
1,20304901,0.346092853
1,20304902,0.324257027
1,20304903,0.394799256
1,20304904,0.383968041
1,20304905,0.337879856
1,20304906,0.36505435
1,20304907,0.341242077
1,20304908,0.29884762
1,20304909,0.355081892
1,20304910,0.355069174
1,20304911,0.319387321
1,20304912,0.357816724
1,20304913,0.369785783
1,20304914,0.291432109
1,20304915,0.369352248
1,20304916,0.364632609
1,20304917,0.321623042
1,20304918,0.352006743
1,20304919,0.404358929
1,20304920,0.35621058
1,20304921,0.34796205
1,20304922,0.379874142
1,20304923,0.352505243
1,20304924,0.344773865
1,20304925,0.306098188
1,20304926,0.347111237
1,20304927,0.309883761
1,20304928,0.350931773
1,20304929,0.313556272
1,20304930,0.367659928
1,20304931,0.350189468
1,20304932,0.324796105
1,20304933,0.33861793
1,20304934,0.328230281
1,20304935,0.338464916
1,20304936,0.321470124
1,20304937,0.34749188
1,20304938,0.338614195
1,20304939,0.296686531
1,20304940,0.395742144
1,20304941,0.313716022
1,20304942,0.345460252
1,20304943,0.367908205
1,20304944,0.338705633
1,20304945,0.407260409
1,20304946,0.359794034
1,20304947,0.26610663
1,20304948,0.368237191
1,20304949,0.345697003
1,20304950,0.33591731
1,20304951,0.342405708
1,20304952,0.344219005
1,20304953,0.32325215
1,20304954,0.355141036
1,20304955,0.351332287
1,20304956,0.33121073
1,20304957,0.335755231
1,20304958,0.326769694
1,20304959,0.322032118
1,20304960,0.304558701
1,20304961,0.347224342
1,20304962,0.318494177
1,20304963,0.33461082
1,20304964,0.313293396
1,20304965,0.357421701
1,20304966,0.295129113
1,20304967,0.344955074
1,20304968,0.309801797
1,20304969,0.304151726
1,20304970,0.3355829
1,20304971,0.322841148
1,20304972,0.341436842
1,20304973,0.352392845
1,20304974,0.351136318
1,20304975,0.366609556
1,20304976,0.365926989
1,20304977,0.35694023
1,20304978,0.351721148
1,20304979,0.336761734
1,20304980,0.332602443
1,20304981,0.361510036
1,20304982,0.3337327
1,20304983,0.379231277
1,20304984,0.354440612
1,20304985,0.356348282
1,20304986,0.324070119
1,20304987,0.374922673
1,20304988,0.310285313
1,20304989,0.329908715
1,20304990,0.292707869
1,20304991,0.345001193
1,20304992,0.327164648
1,20304993,0.340750332
1,20304994,0.355696561
1,20304995,0.326167522
1,20304996,0.376053004
1,20304997,0.375246281
1,20304998,0.342941913
1,20304999,0.355929157
1,20305000,0.325101766
1,20305001,0.374161502
1,20305002,0.389469762
1,20305003,0.400109925
1,20305004,0.36599399
1,20305005,0.356421228
1,20305006,0.338732994
1,20305007,0.32459165
1,20305008,0.345911014
1,20305009,0.387121442
1,20305010,0.290079779
1,20305011,0.315883504
1,20305012,0.339895488
1,20305013,0.364790348
1,20305014,0.337071548
1,20305015,0.306231566
1,20305016,0.30504249
1,20305017,0.347615741
1,20305018,0.339633734
1,20305019,0.334829143
1,20305020,0.333403845
1,20305021,0.328091111
1,20305022,0.324274412
1,20305023,0.322427591
1,20305024,0.388442894
1,20305025,0.356510478
1,20305026,0.390115457
1,20305027,0.300096808
1,20305028,0.373034898
1,20305029,0.344503643
1,20305030,0.349834791
1,20305031,0.381789663
1,20305032,0.363659101
1,20305033,0.363745565
1,20305034,0.344674634
1,20305035,0.373100652
1,20305036,0.321402607
1,20305037,0.388254517
1,20305038,0.356940747
1,20305039,0.376076371
1,20305040,0.296864741
1,20305041,0.365323348
1,20305042,0.353572584
1,20305043,0.337339841
1,20305044,0.328532938
1,20305045,0.332017754
1,20305046,0.314570691
1,20305047,0.342848479
1,20305048,0.334626453
1,20305049,0.357260208
1,20305050,0.33337411
1,20305051,0.319210292
1,20305052,0.334901653
1,20305053,0.368919891
1,20305054,0.373071413
1,20305055,0.371651892
1,20305056,0.356158806
1,20305057,0.371725759
1,20305058,0.370361273
1,20305059,0.299140782
1,20305060,0.332401585
1,20305061,0.304870078
1,20305062,0.350984028
1,20305063,0.319520294
1,20305064,0.341163008
1,20305065,0.315678277
1,20305066,0.307801693
1,20305067,0.376388789
1,20305068,0.361921765
1,20305069,0.324721809
1,20305070,0.321051677
1,20305071,0.381151241
1,20305072,0.340246486
1,20305073,0.318682236
1,20305074,0.379736555
1,20305075,0.325833895
1,20305076,0.281998367
1,20305077,0.334642964
1,20305078,0.351459839
1,20305079,0.325888024
1,20305080,0.328106771
1,20305081,0.363994195
1,20305082,0.348654396
1,20305083,0.333746965
1,20305084,0.346363992
1,20305085,0.379345334
1,20305086,0.322921309
1,20305087,0.33553026
1,20305088,0.360232722
1,20305089,0.36930471
1,20305090,0.366358493
